title,manufacturer,year,price,location,hours,wear_score,value_score,source
2024 Grove GMK5250L,Grove,2024,1735503,"Fort Wayne, IN",11,6.622,18.910944,Live Scraper
2024 Terex AC500,Terex,2024,1450059,"Portland, OR",28,6.656000000000001,18.909312000000003,Live Scraper
2024 Grove GMK4100L,Grove,2024,1448560,"Los Angeles, CA",45,6.69,18.907680000000003,Live Scraper
2024 Grove RT890E,Grove,2024,822936,"Raleigh, NC",53,6.706,18.906912000000002,Live Scraper
2024 Manitowoc 21000,Manitowoc,2024,2088903,"Southaven, MS",54,6.708,18.906816000000003,Live Scraper
2024 Manitowoc 18000,Manitowoc,2024,816258,"Tampa, FL",69,6.7379999999999995,18.905376,Live Scraper
2024 Manitowoc MLC300,Manitowoc,2024,1730670,"Reno, NV",70,6.74,18.905280000000005,Live Scraper
2024 Grove TMS9000E,Grove,2024,1013616,"Sacramento, CA",72,6.744,18.905088000000003,Live Scraper
2024 Liebherr LR 1300,Liebherr,2024,1580459,"Salem, OR",85,6.77,18.903840000000006,Live Scraper
2024 Grove TMS9000E,Grove,2024,934235,"Bowling Green, KY",94,6.788,18.902976000000006,Live Scraper
2024 Manitowoc 18000,Manitowoc,2024,1858797,"Evansville, IN",101,6.802,18.902304,Live Scraper
2024 Grove TMS9000E,Grove,2024,1068660,"Winnipeg, MB",101,6.802,18.902304,Live Scraper
2024 Liebherr LR 1300,Liebherr,2024,1706167,"Lafayette, LA",125,6.85,18.900000000000002,Live Scraper
2024 Grove TMS9000E,Grove,2024,1318848,"Greensboro, NC",130,6.86,18.899520000000006,Live Scraper
2024 Liebherr LR 1600,Liebherr,2024,1960822,"Spokane, WA",139,6.878,18.898656000000003,Live Scraper
2024 Terex AC350,Terex,2024,797238,"Knoxville, TN",147,6.894,18.897888000000002,Live Scraper
2024 Liebherr LTM 1300,Liebherr,2024,1237203,"Columbus, OH",149,6.898,18.897696000000003,Live Scraper
2024 Liebherr LTM 1300,Liebherr,2024,1256799,"Cedar Rapids, IA",177,6.954000000000001,18.895008,Live Scraper
2024 Manitowoc 21000,Manitowoc,2024,708467,"San Antonio, TX",192,6.984,18.893568000000005,Live Scraper
2024 Terex AC500,Terex,2024,1673196,"Cleveland, OH",193,6.986000000000001,18.893472,Live Scraper
2024 Grove GMK4100L,Grove,2024,1707922,"Lafayette, LA",226,7.052,18.890304,Live Scraper
2024 Terex RT670,Terex,2024,1302891,"Cincinnati, OH",238,7.0760000000000005,18.889152000000003,Live Scraper
2024 Liebherr LR 1600,Liebherr,2024,2419398,"Colorado Springs, CO",249,7.098,18.888096,Live Scraper
2024 Manitowoc MLC300,Manitowoc,2024,898504,"Portland, OR",250,7.1,18.888,Live Scraper
2024 Manitowoc 18000,Manitowoc,2024,1084617,"Salem, OR",251,7.102,18.887904000000002,Live Scraper
2024 Manitowoc 21000,Manitowoc,2024,1183107,"Atlanta, GA",258,7.116,18.887232000000004,Live Scraper
2024 Liebherr LTM 1450,Liebherr,2024,1958762,"Shreveport, LA",273,7.146,18.885792000000002,Live Scraper
2024 Manitowoc MLC650,Manitowoc,2024,751758,"Minneapolis, MN",279,7.158,18.885216,Live Scraper
2024 Terex AC350,Terex,2024,891399,"Chicago, IL",282,7.164,18.884928000000006,Live Scraper
2024 Liebherr LTM 1450,Liebherr,2024,1668900,"Quebec City, QC",282,7.164,18.884928000000006,Live Scraper
2024 Terex AC350,Terex,2024,1592650,"Tulsa, OK",295,7.1899999999999995,18.883680000000005,Live Scraper
2024 Terex AC350,Terex,2024,724559,"Virginia Beach, VA",317,7.234,18.881568,Live Scraper
2024 Terex AC350,Terex,2024,656843,"Owensboro, KY",320,7.24,18.88128,Live Scraper
2024 Terex AC350,Terex,2024,955645,"Davenport, IA",342,7.284000000000001,18.879168000000004,Live Scraper
2024 Terex AC350,Terex,2024,1183644,"Parkersburg, WV",362,7.324,18.877248,Live Scraper
2024 Liebherr LR 1300,Liebherr,2024,2353904,"Memphis, TN",390,7.38,18.87456,Live Scraper
2024 Terex AC100,Terex,2024,1645033,"Norfolk, VA",411,7.422000000000001,18.872544,Live Scraper
2024 Manitowoc 18000,Manitowoc,2024,1777586,"Louisville, KY",445,7.49,18.869280000000003,Live Scraper
2024 Grove GMK6300L,Grove,2024,1978614,"South Bend, IN",462,7.524,18.867648000000003,Live Scraper
2024 Liebherr LR 1300,Liebherr,2024,2014094,"Memphis, TN",483,7.566,18.865632,Live Scraper
2024 Grove RT890E,Grove,2024,1569501,"Jacksonville, FL",492,7.584,18.864768000000005,Live Scraper
2024 Liebherr LTM 1300,Liebherr,2024,1732442,"New Orleans, LA",494,7.588,18.864576000000003,Live Scraper
2024 Terex RT780,Terex,2024,1347440,"Austin, TX",499,7.598,18.864096,Live Scraper
2023 Terex AC500,Terex,2023,940958,"Lexington, KY",355,8.91,18.58992,Live Scraper
2023 Terex AC350,Terex,2023,1047699,"Austin, TX",430,9.06,18.58272,Live Scraper
2023 Terex AC350,Terex,2023,811712,"Spokane, WA",447,9.094000000000001,18.581088,Live Scraper
2023 Grove GMK6300L,Grove,2023,936671,"Ottawa, ON",559,9.318000000000001,18.570336,Live Scraper
2023 Liebherr LTM 1450,Liebherr,2023,1025589,"Ottawa, ON",698,9.596,18.556992,Live Scraper
2023 Terex AC350,Terex,2023,697589,"Des Moines, IA",738,9.676,18.553152,Live Scraper
2023 Liebherr LTM 1500,Liebherr,2023,1089295,"Springfield, IL",794,9.788,18.547776,Live Scraper
2023 Liebherr LTM 1500,Liebherr,2023,1776126,"Seattle, WA",806,9.812000000000001,18.546624,Live Scraper
2023 Liebherr LR 1600,Liebherr,2023,1554568,"New York, NY",844,9.888,18.542976000000003,Live Scraper
2023 Liebherr LTM 1300,Liebherr,2023,1878383,"Lincoln, NE",848,9.896,18.542592,Live Scraper
